wavelength_um,n,k
8.1014,1.0002012,0.1766584099999999
8.1268,0.994021777,0.194887933
8.1524,0.988765578,0.2141595309999999
8.1781,0.984582492,0.234432166
8.204,0.981624295,0.2556414739999999
8.23,0.980040889,0.277680317
8.2562,0.979970195,0.3004314949999999
8.2826,0.981536752,0.3237545969999999
8.3091,0.984843986,0.3474696279999999
8.3359,0.989974057,0.3714025449999999
8.3628,0.996978421,0.395342707
8.3898,1.00588429,0.419089722
8.4171,1.01669212,0.4424389349999999
8.4445,1.02936687,0.465170717
8.4721,1.04385395,0.487086397
8.4999,1.06007575,0.5079955569999999
8.5278,1.07791762,0.527702172
8.556,1.09725416,0.546039787
8.5843,1.11793988,0.562856721
8.6128,1.13979505,0.578008944
8.6415,1.16263506,0.5913857409999999
8.6704,1.18626413,0.602901937
8.6995,1.21045518,0.6124912169999999
8.7288,1.23499273,0.620127647
8.7583,1.25965945,0.625815907
8.788,1.28422571,0.629590273
8.8179,1.30849014,0.6315213889999999
8.848,1.33226963,0.631707726
8.8783,1.35538551,0.630273007
8.9088,1.37770498,0.627360876
8.9395,1.39912367,0.6231267209999999
8.9704,1.41955244,0.617735604
9.0016,1.43895343,0.6113474279999999
9.0329,1.45729636,0.604121701
9.0645,1.47458981,0.5962020999999998
9.0963,1.49086049,0.5877172099999999
9.1284,1.5061391,0.578784685
9.1606,1.52047828,0.569498371
9.1931,1.53393568,0.559934232
9.2258,1.54656123,0.550158843
9.2588,1.55841448,0.540216526
9.292,1.56955104,0.5301383929999999
9.3254,1.58001256,0.519953192
9.359,1.58984394,0.509672899
9.393,1.59908278,0.499303074
9.4271,1.60775268,0.488853136
9.4615,1.61587826,0.47832129
9.4962,1.62347749,0.467704282
9.5311,1.63055707,0.457006683
9.5662,1.63712463,0.4462257689999999
9.6017,1.64318353,0.435359396
9.6374,1.64872866,0.4244163449999999
9.6733,1.65375841,0.413395846
9.7096,1.65826348,0.40231104
9.7461,1.66223702,0.3911690039999999
9.782800000000002,1.66567053,0.3799796899999999
9.8199,1.66855255,0.3687637269999999
9.8572,1.67087407,0.357536206
9.8949,1.6726259,0.3463140559999999
9.9328,1.673798,0.3351258839999999
9.971,1.67438273,0.323993436
10.009,1.67437293,0.3129405069999999
10.048,1.67376287,0.3020018429999999
10.087,1.67254845,0.2912052809999999
10.127,1.67072667,0.280580215
10.166,1.66829801,0.270166491
10.207,1.66526372,0.259996775
10.247,1.66162671,0.250105456
10.288,1.6573952,0.24053562
10.328,1.65257749,0.231324139
10.37,1.64718393,0.2225087829999999
10.411,1.64123241,0.214135287
10.453,1.63473816,0.2062409819999999
10.496,1.62772646,0.198872129
10.538,1.6202214,0.19206893
10.581,1.61225055,0.185872008
10.625,1.60385206,0.180326323
10.669,1.59506246,0.175471076
10.713,1.58592275,0.171344925
10.757,1.57648596,0.167987738
10.802,1.56680336,0.165433665
10.847,1.55693118,0.1637144869999999
10.893,1.54693865,0.162859265
10.939,1.53689256,0.162890785
10.985,1.52686461,0.163827002
11.032,1.51693891,0.165678308
11.079,1.50719602,0.168447905
11.126,1.49771981,0.172131217
11.174,1.48860403,0.176710842
11.223,1.47993572,0.182161721
11.272,1.47180217,0.188448301
11.321,1.4642949,0.195518203
11.37,1.4574949,0.2033119459999999
11.421,1.45147771,0.2117592399999999
11.471,1.4463156,0.220771734
11.522,1.44206467,0.230260441
11.573,1.43877423,0.240117663
11.625,1.43647642,0.250236752
11.678,1.43518982,0.260506353
11.731,1.4349183,0.270805424
11.784,1.43564889,0.281020843
11.838,1.4373542,0.2910428449999999
11.892,1.43999053,0.300758762
11.947,1.44350187,0.3100718499999999
12.002,1.447821,0.318894185
12.058,1.45286688,0.327142086
12.114,1.45855333,0.33475102
12.171,1.46478871,0.3416689929999999
12.229,1.4714718,0.347851776
12.287,1.47850411,0.353274423
12.345,1.48578686,0.35792435
12.404,1.49321673,0.361798391
12.464,1.50069887,0.364909443
12.524,1.50814264,0.367281177
12.585,1.51545675,0.3689461969999999
12.646,1.52256432,0.369949118
12.708,1.52938821,0.3703419279999999
12.771,1.53586514,0.370185294
12.834,1.54194029,0.369546085
12.898,1.54756382,0.3684974289999999
12.962,1.5527008,0.367116565
13.027,1.55732615,0.365483889
13.093,1.56142241,0.363683301
13.16,1.5649869,0.361798506
13.227,1.5680279,0.3599128309999999
13.295,1.57056291,0.3581094699999999
13.363,1.57262356,0.356466954
13.432,1.57425251,0.355059236
13.502,1.57550228,0.353955061
13.573,1.57643739,0.353213845
13.645,1.57713186,0.3528853419999999
13.717,1.57766784,0.353007648
13.79,1.57813505,0.353604774
13.863,1.57862816,0.3546856649999999
