id,phase,geometry_id,gate_role,resolution,polarization,emission_theta_deg,status,result_path,material,oxide_layer_in_model,elapsed_s,mpi_ranks,peak_process_tree_rss_bytes,R,T,A_flux,A_vol,order_R,order_T,reference_pseudo_reflection,period_um,surface_fill,axis_length_um,tilt_deg,thickness_um,A_error_bound
flat32p,validation,baseline,flat,32,p,30,QUALIFIED,/root/autodl-tmp/meep_sim/meep_screen/expiry_campaign/runs/expiry_20260922_H/tasks/flat32p/attempt_1/result.json,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,9018.602283477783,4,4094275584,0.9570029345543273,-1.5626413724864133e-15,0.04299706544567428,0.04299672669981125,0.9569798426091913,3.4947597932660563e-14,2.6414256074441676e-10,50.0,0.692820323,40.0,30,60.0,
slot32p,validation,baseline,structure,32,p,30,TIME_LIMIT_UNQUALIFIED,/root/autodl-tmp/meep_sim/meep_screen/expiry_campaign/runs/expiry_20260922_H/tasks/slot32p/attempt_1/result.json,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,21588.225257635117,4,3461357568,0.8427184799646713,7.431551090017379e-07,0.15728077688021969,0.15659721607568852,0.8427031975173627,6.892600545808457e-05,2.6414256074441676e-10,50.0,0.692820323,40.0,30,60.0,
strict32p,validation,baseline,structure,32,p,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
mirror32p,validation,baseline,structure,32,p,-30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,-30,60.0,
flat32s,validation,baseline,flat,32,s,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
slot32s,validation,baseline,structure,32,s,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
flat24p,validation,baseline,flat,24,p,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
slot24p,validation,baseline,structure,24,p,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
flat20p,validation,baseline,flat,20,p,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
slot20p,validation,baseline,structure,20,p,30,NOT_RUN,,/root/autodl-tmp/meep_sim/meep_screen/assets/material/route_a_material.json,False,,,,,,,,,,,50.0,0.692820323,40.0,30,60.0,
