mode,case_name,film_thickness_um,coating_mode,polarization,wavelength_um,R,T,A,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,material_validity_flag_ti,transmission_quality_flag,included_in_strict_metric,included_in_extended_metric,finite_values_flag,resolution,pml_thickness_um,substrate_thickness_um,air_buffer_um,decay_db,fwidth_fraction,solver_version,source_mode,period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,film_grid_points,normalization_note,walltime_s,material_name_film,n_film,k_film,epsilon_real_film,epsilon_imag_film,D_conductivity_film,film_interpolation_flag,material_validity_flag_film,film_model_mode,film_data_range_min_um,film_data_range_max_um,film_warning,physics_note
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Ez,8.1014,0.8863410120922802,-7.542440111487408e-08,0.11365906333212089,-56979.89389522059,50503.61682400056,0.004297674372636083,7.542440111487408e-08,-7.542440111487408e-08,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",280.4686703681946,measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Ez,9.0016,0.8486680974790134,-5.689907108531048e-10,0.15133190308997732,-70344.5247733322,59699.154007449164,4.002538115540213e-05,5.689907108531048e-10,-5.689907108531048e-10,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",301.9853084087372,measured_lossy_wall_film,1.43895343,0.6113474279999999,1.6968412959865498,1.7594009568845557,0.7237419674010624,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Ez,10.009,0.8828047221543389,-5.588681309572811e-07,0.11719583671379204,-86968.88887113315,76776.54577595228,0.04860414037484167,5.588681309572811e-07,-5.588681309572811e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",359.6524362564087,measured_lossy_wall_film,1.67437293,0.3129405069999999,2.705592947795368,1.0479582272425507,0.24314799481601532,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Ez,10.985,0.906714630313723,-4.041865573816624e-09,0.09328537372814256,-104755.47702209195,94983.3236214238,0.0004234075562443319,4.041865573816624e-09,-4.041865573816624e-09,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",356.69787335395813,measured_lossy_wall_film,1.52686461,0.163827002,2.304476250686144,0.5002833030323984,0.12417197216686165,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Ez,12.345,0.90555964933701,-8.20870251817879e-07,0.09444117153324176,-132297.70968767552,119803.46759286101,0.10859925426625085,8.20870251817879e-07,-8.20870251817879e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",407.0022473335266,measured_lossy_wall_film,1.48578686,0.35792435,2.0794527530257367,1.063598592208082,0.2603259552290157,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Hz,8.1014,0.7507890759581347,-1.1877402318433187e-06,0.24921211178209712,-56965.0141444866,42768.71033148117,0.06765963910693044,1.1877402318433187e-06,-1.1877402318433187e-06,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",744.840763092041,measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Hz,9.0016,0.6408873871048382,-1.1224576066806483e-08,0.3591126241197379,-70329.64810671547,45073.38441111561,0.0007894204849255603,1.1224576066806483e-08,-1.1224576066806483e-08,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",822.6355361938477,measured_lossy_wall_film,1.43895343,0.6113474279999999,1.6968412959865498,1.7594009568845557,0.7237419674010624,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Hz,10.009,0.7117865217930381,-0.004629784791197832,0.2928432629981597,-86954.00623997228,61892.68965752001,402.57833562354506,0.004629784791197832,-0.004629784791197832,VALID,WARNING_EXCLUDED_FROM_STRICT_METRIC,False,False,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",933.3330917358398,measured_lossy_wall_film,1.67437293,0.3129405069999999,2.705592947795368,1.0479582272425507,0.24314799481601532,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Hz,10.985,0.8081184380289433,-5.887344182531046e-09,0.19188156785840085,-104740.59740744779,84642.80797512509,0.0006166439468215641,5.887344182531046e-09,-5.887344182531046e-09,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1006.973424911499,measured_lossy_wall_film,1.52686461,0.163827002,2.304476250686144,0.5002833030323984,0.12417197216686165,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_500nm,0.5,sidewalls_and_bottom,Hz,12.345,0.8060933454718184,-0.00010361575888577137,0.19401027028706733,-132282.83870100544,106632.31599700241,13.706586719568765,0.00010361575888577137,-0.00010361575888577137,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,12.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1424.7292873859406,measured_lossy_wall_film,1.48578686,0.35792435,2.0794527530257367,1.063598592208082,0.2603259552290157,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
