mode,case_name,film_thickness_um,coating_mode,polarization,wavelength_um,R,T,A,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,material_validity_flag_ti,transmission_quality_flag,included_in_strict_metric,included_in_extended_metric,finite_values_flag,resolution,pml_thickness_um,substrate_thickness_um,air_buffer_um,decay_db,fwidth_fraction,solver_version,source_mode,period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,film_grid_points,normalization_note,walltime_s,material_name_film,n_film,k_film,epsilon_real_film,epsilon_imag_film,D_conductivity_film,film_interpolation_flag,material_validity_flag_film,film_model_mode,film_data_range_min_um,film_data_range_max_um,film_warning
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Ez,8.1014,0.8137216972608201,-6.795253292594334e-08,0.18627837069171282,-56979.89389522059,46365.77597016034,0.003871928116031735,6.795253292594334e-08,-6.795253292594334e-08,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1426.3958294391632,measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Ez,9.0016,0.6674931623850826,-3.8311560054386795e-10,0.332506837998033,-70344.5247733322,46954.489297427295,2.6950084853508163e-05,3.8311560054386795e-10,-3.8311560054386795e-10,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1570.6686806678772,measured_lossy_wall_film,1.43895343,0.6113474279999999,1.6968412959865498,1.7594009568845557,0.7237419674010624,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Ez,10.009,0.714920327846706,-8.506382227730531e-07,0.28508052279151674,-86968.88887113315,62175.82654421425,0.07397906106588786,8.506382227730531e-07,-8.506382227730531e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1698.5353627204895,measured_lossy_wall_film,1.67437293,0.3129405069999999,2.705592947795368,1.0479582272425507,0.24314799481601532,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Ez,10.985,0.8245368974816522,-2.8416829134578648e-09,0.17546310536003076,-104755.47702209195,86374.7560180062,0.00029768184914480666,2.8416829134578648e-09,-2.8416829134578648e-09,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1848.8263688087463,measured_lossy_wall_film,1.52686461,0.163827002,2.304476250686144,0.5002833030323984,0.12417197216686165,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Ez,12.345,0.8109541476323152,-7.776657062907048e-07,0.1890466300333911,-132297.70968767552,107287.3763934764,0.1028833918449088,7.776657062907048e-07,-7.776657062907048e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",2173.8902337551117,measured_lossy_wall_film,1.48578686,0.35792435,2.0794527530257367,1.063598592208082,0.2603259552290157,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Hz,8.1014,0.6884156790081752,-6.083419423552065e-07,0.31158492933376714,-56965.0141444866,39215.60889198705,0.03465420735094879,6.083419423552065e-07,-6.083419423552065e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",2972.911042690277,measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Hz,9.0016,0.5732115729383622,-5.703061350102837e-09,0.42678843276469913,-70329.64810671547,40313.768215451884,0.00040109429788374215,5.703061350102837e-09,-5.703061350102837e-09,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",3210.325841188431,measured_lossy_wall_film,1.43895343,0.6113474279999999,1.6968412959865498,1.7594009568845557,0.7237419674010624,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Hz,10.009,0.5947809608486365,-0.0006334679058460959,0.4058525070572096,-86954.00623997228,51718.58738104905,55.0825722377636,0.0006334679058460959,-0.0006334679058460959,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",3632.4359600543976,measured_lossy_wall_film,1.67437293,0.3129405069999999,2.705592947795368,1.0479582272425507,0.24314799481601532,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Hz,10.985,0.668771374436268,-1.0112733650484008e-08,0.33122863567646565,-104740.59740744779,70047.51328745467,0.0010592137639740952,1.0112733650484008e-08,-1.0112733650484008e-08,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",3970.4514718055725,measured_lossy_wall_film,1.52686461,0.163827002,2.304476250686144,0.5002833030323984,0.12417197216686165,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
smoke,scaled_inner_wall_film_1um,1.0,sidewalls_and_bottom,Hz,12.345,0.6871046143758598,-0.00011513341611319271,0.3130105190402534,-132282.83870100544,90892.1488741984,15.230175112797212,0.00011513341611319271,-0.00011513341611319271,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",6173.283614873886,measured_lossy_wall_film,1.48578686,0.35792435,2.0794527530257367,1.063598592208082,0.2603259552290157,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
