mode,case_name,film_thickness_um,coating_mode,polarization,wavelength_um,R,T,A,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,material_validity_flag_ti,transmission_quality_flag,included_in_strict_metric,included_in_extended_metric,finite_values_flag,resolution,pml_thickness_um,substrate_thickness_um,air_buffer_um,decay_db,fwidth_fraction,solver_version,source_mode,period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,film_grid_points,normalization_note,walltime_s,material_name_film,n_film,k_film,epsilon_real_film,epsilon_imag_film,D_conductivity_film,film_interpolation_flag,material_validity_flag_film,film_model_mode,film_data_range_min_um,film_data_range_max_um,film_warning,physics_note
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Ez,8.1014,0.5796075976142548,-4.165704856083381e-08,0.42039244404279374,-56979.89389522059,33025.97941292395,0.0023736142069843624,4.165704856083381e-08,-4.165704856083381e-08,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1405.7498819828033,measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Ez,9.0016,0.5972199325926372,-1.5169930604170583e-10,0.40278006755906215,-70344.5247733322,42011.15234339055,1.0671215591948079e-05,1.5169930604170583e-10,-1.5169930604170583e-10,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1546.462432384491,measured_lossy_wall_film,1.43895343,0.6113474279999999,1.6968412959865498,1.7594009568845557,0.7237419674010624,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Ez,10.009,0.5849360945217845,-5.655484469468787e-07,0.41506447102666244,-86968.88887113315,50871.24220117972,0.04918512003376503,5.655484469468787e-07,-5.655484469468787e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1719.4361004829407,measured_lossy_wall_film,1.67437293,0.3129405069999999,2.705592947795368,1.0479582272425507,0.24314799481601532,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Ez,10.985,0.5998864740575583,-5.543888870191173e-10,0.4001135264968305,-104755.47702209195,62841.39374900031,5.807527231543427e-05,5.543888870191173e-10,-5.543888870191173e-10,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",1867.503466129303,measured_lossy_wall_film,1.52686461,0.163827002,2.304476250686144,0.5002833030323984,0.12417197216686165,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Ez,12.345,0.5609428986789531,-1.4280881375630315e-07,0.4390572441298607,-132297.70968767552,74211.46076079132,0.018893278983172716,1.4280881375630315e-07,-1.4280881375630315e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",2107.581960439682,measured_lossy_wall_film,1.48578686,0.35792435,2.0794527530257367,1.063598592208082,0.2603259552290157,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Hz,8.1014,0.5657197978765496,-9.186361239180384e-07,0.4342811207595743,-56965.0141444866,32226.236287853746,0.0523301197926274,9.186361239180384e-07,-9.186361239180384e-07,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",2951.052390575409,measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Hz,9.0016,0.5611239241789424,-1.9542735300578463e-09,0.4388760777753311,-70329.64810671547,39463.64813176431,0.00013744336967323696,1.9542735300578463e-09,-1.9542735300578463e-09,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",3236.3417756557465,measured_lossy_wall_film,1.43895343,0.6113474279999999,1.6968412959865498,1.7594009568845557,0.7237419674010624,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Hz,10.009,0.5762765485083641,-0.0006034292225011668,0.4243268807141371,-86954.00623997228,50109.55459494598,52.47058837874808,0.0006034292225011668,-0.0006034292225011668,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",3602.011898994446,measured_lossy_wall_film,1.67437293,0.3129405069999999,2.705592947795368,1.0479582272425507,0.24314799481601532,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Hz,10.985,0.581946343833113,-1.196990141231324e-09,0.4180536573638772,-104740.59740744779,60953.40771216027,0.00012537346248339416,1.196990141231324e-09,-1.196990141231324e-09,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",3946.984736442566,measured_lossy_wall_film,1.52686461,0.163827002,2.304476250686144,0.5002833030323984,0.12417197216686165,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
smoke,scaled_inner_wall_film_3um,3.0,sidewalls_and_bottom,Hz,12.345,0.5855957374174051,-3.123378559288207e-05,0.4144354963681878,-132282.83870100544,77464.26647678294,4.1316938216050065,3.123378559288207e-05,-3.123378559288207e-05,VALID,NUMERICAL_PASS,True,True,VALID,24,4.0,25.0,12.0,20.0,0.06,scaled_deep_inner_wall_film_single_wavelength_v2,single_wavelength_narrowband,50.0,20.0,20.0,15.0,20.0,72.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",5601.507749557495,measured_lossy_wall_film,1.48578686,0.35792435,2.0794527530257367,1.063598592208082,0.2603259552290157,INTERPOLATED_WITHIN_DATA_RANGE,VALID,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.,
