case_name,film_thickness_um,coating_mode,polarization,wavelength_um,theta_deg,included_in_strict_metric,finite_values_flag,material_validity_flag_ti,transmission_quality_flag,period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,bottom_shift_um,film_grid_points,normalization_note,geometry_note,R,T,A,input_flux_raw,reflection_flux_raw,transmission_flux_raw,raw_transmittance,signed_transmittance,frequency_meep,kx_meep,resolution,pml_thickness_um,substrate_thickness_um,air_buffer_um,decay_db,fwidth_fraction,courant,solver_version,source_mode,walltime_s,retry_level,kirchhoff_note,material_name_film,n_film,k_film,epsilon_real_film,epsilon_imag_film,D_conductivity_film,film_interpolation_flag,film_model_mode,film_data_range_min_um,film_data_range_max_um,film_warning
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-70.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.41019162796546216,-9.342214822029639e-07,0.58980930625602,-376008.1287691596,154235.3864680687,0.3512748713790872,9.342214822029639e-07,-9.342214822029639e-07,0.12343545560026663,-0.11599138677091717,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11201.008158922195,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-60.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.1819727692362213,-1.5570428398654832e-07,0.8180273864680627,-256023.6231304729,46589.32769094283,0.039863974923172174,1.5570428398654832e-07,-1.5570428398654832e-07,0.12343545560026663,-0.10689824027753705,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11309.97521519661,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-50.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.26610638248026186,-3.5722883802422614e-08,0.7338936532426219,-199316.5615536368,53039.40916344273,0.007120162368278982,3.5722883802422614e-08,-3.5722883802422614e-08,0.12343545560026663,-0.09455704484644359,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11374.548305034637,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-40.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.2256395544037709,-2.6416207416082875e-07,0.7743607097583033,-167309.11308262218,37751.553723652985,0.04419672233791412,2.6416207416082875e-07,-2.6416207416082875e-07,0.12343545560026663,-0.07934278145586433,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11342.772407531738,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-30.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.2595602706680197,-1.71395332459621e-06,0.7404414432853049,-148036.53466834506,38424.40300727132,0.2537277107565121,1.71395332459621e-06,-1.71395332459621e-06,0.12343545560026663,-0.06171772780013331,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11260.482486724854,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-20.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.2913686666851188,-3.316928724270074e-06,0.7086346502436055,-136461.27440278098,39760.53957689043,0.4526323208170848,3.316928724270074e-06,-3.316928724270074e-06,0.12343545560026663,-0.042217412215872406,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11356.117874145508,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,-10.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.2925513816192987,-1.1410188258779824e-06,0.7074497593995271,-130227.89987591076,38098.3520340774,0.14859248541296716,1.1410188258779824e-06,-1.1410188258779824e-06,0.12343545560026663,-0.02143434192447359,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11320.848909139633,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,0.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.34773928813877364,-2.7820416230128744e-08,0.6522607396816426,-32063.872864970846,11149.868325037103,0.0008920302890534196,2.7820416230128744e-08,-2.7820416230128744e-08,0.12343545560026663,0.0,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,4512.858314752579,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,10.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.3695626588229373,-5.237984420548073e-07,0.6304378649755048,-130227.89987591079,48127.368931068864,0.0682131710670715,5.237984420548073e-07,-5.237984420548073e-07,0.12343545560026663,0.02143434192447359,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,9653.645497083664,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
tilt20_wrapped_gap10_film2um,2.0,sidewalls_and_bottom,Ez,8.1014,20.0,True,VALID,VALID,NUMERICAL_PASS,50.0,40.0,0.0,30.0,20.0,10.91910702798607,24.0,"D00 convention: R=refl/abs(input), T=-trans/abs(input), A=1-R-T.",Wrapped periodic polygon pieces preserve P=50 and gap=10.,0.4120022852108874,-1.0644425214428982e-06,0.5879987792316341,-136461.27440278098,56222.356896735735,0.1452551830046074,1.0644425214428982e-06,-1.0644425214428982e-06,0.12343545560026663,0.042217412215872406,12,4.0,45.0,15.0,20.0,0.08,0.05,D13_wrapped_gap10_angle_v1,single_wavelength_oblique_incidence,11047.453569173813,primary,"A(lambda,theta) is the directional emissivity proxy under reciprocity.",measured_lossy_wall_film,1.0002012,0.1766584099999999,0.9691942466577119,0.3533879073441838,0.2827877871583043,INTERPOLATED_WITHIN_DATA_RANGE,nk_interpolated_single_wavelength_conductivity,8.1014,24.927,Valid only for narrowband single-wavelength simulation; not a broadband dispersive fit.
