file,fingerprint,case,resolution,courant,polarization,theta_deg,tilt_deg,R,T,A_flux,A_vol,volume_flux_abs_difference,order_sum_over_plane_flux,n_orders,mr_max,post_source_window_um,n_steps,wall_total_s,mpi_processes,peak_memory_mib_max_rank,quality_status,quality_missing
D15b_flat_flat_r16P50T60_theta30p_v4.json,P50.0-W30.0-L40.0-a30.0-flat-r16-C0.25-polp-th30.0-lam10.5,flat,16,0.25,p,30.0,30.0,0.924090181,-2.92683341e-14,0.0759098185,0.0472984322,0.0286113863,0.0299042171,10,0.002493746357560264,137.5,92800,9021.25428,1,947.410156,valid,
D15b_structure_cal2.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,1020.04804,2,635.457031,calibration_run_resource_only,
D15b_structure_cal4.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,612.84786,4,457.484375,calibration_run_resource_only,
D15b_structure_cal4_r20.json,P50.0-W30.0-L40.0-a30.0-structure-r20-C0.25-polp-th30.0-lam10.5,structure,20,0.25,p,30.0,30.0,-0.999999748,-0,1.99999975,7.08312274e-17,1.99999975,,,,-1300,1000,1453.11739,4,622.765625,calibration_run_resource_only,
D15b_structure_conc1.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,2418.81793,1,994.046875,calibration_run_resource_only,
D15b_structure_conc2.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,2085.11853,1,1001.11719,calibration_run_resource_only,
D15b_structure_conc3.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,2372.70059,1,993.683594,calibration_run_resource_only,
D15b_structure_conc4.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,1474.35706,1,993.871094,calibration_run_resource_only,
D15b_structure_dbg.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-1,-0,2,0,2,,,,-1307.8125,300,1911.93184,1,977.300781,calibration_run_resource_only,
D15b_structure_dbg3.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-1,-0,2,0,2,-0,10,,-1308.59375,250,2001.09665,1,977.285156,calibration_run_resource_only,
D15b_structure_r16P50T60_theta30p_v4.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,0.73634905,-1.9546828e-06,0.263652905,0.253107126,0.0105457791,-0.253847861,10,0.002493746357560264,137.5,92800,3974.38099,4,456.699219,valid,
D15b_structure_r20P50T60_theta30p_v5.json,P50.0-W30.0-L40.0-a30.0-structure-r20-C0.25-polp-th30.0-lam10.5,structure,20,0.25,p,30.0,30.0,0.734096559,-1.96439302e-06,0.265905405,0.25616168,0.00974372487,-0.2538251,10,0.001995998134136013,137.5,116000,8110.16604,4,598.492188,valid,
D15b_structure_smoke4.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999916,-0,1.99999992,6.81160303e-39,1.99999992,,,,-1303.125,600,1496.48427,1,976.875,calibration_run_resource_only,
D15b_structures3.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999785,-5.47902685e-267,1.99999979,4.4492004e-17,1.99999979,,,,-1301.5625,700,1555.99031,1,993.703125,calibration_run_resource_only,
D15b_structuresmoke2.json,P50.0-W30.0-L40.0-a30.0-structure-r16-C0.25-polp-th30.0-lam10.5,structure,16,0.25,p,30.0,30.0,-0.999999391,-4.23366654e-29,1.99999939,9.5532025e-16,1.99999939,,,,16.875,1400,1377.96039,1,993.472656,calibration_run_resource_only,
