file,plane,m,kx_m,ky_m,theta_out_deg,flux_meep_units,share
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,-2,-0.0876190476,0.037325558,-66.9260819,0.00809889874,1.17866564e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,-1,-0.0676190476,0.0670668263,-45.2349153,0.0298289876,4.34113378e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,0,-0.0476190476,0.0824786099,-30,6870.83771,0.999940932
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,1,-0.0276190476,0.0911453948,-16.857956,0.0514707422,7.49074626e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,2,-0.00761904762,0.0949328441,-4.58856574,0.0572037847,8.32509923e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,3,0.0123809524,0.0944299042,7.46959232,0.0602907317,8.77435518e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,4,0.0323809524,0.0895643272,19.8768741,0.0606873968,8.83208346e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,5,0.0523809524,0.0795394909,33.367013,0.0579038774,8.42698656e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,6,0.0723809524,0.0618974355,49.4641979,0.0504278552,7.33897068e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,refl,7,0.0923809524,0.0231528491,75.9301323,0.0299582443,4.35994503e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,-2,-0.0876190476,0.037325558,-66.9260819,-6.18811459e-13,1.09601672e-05
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,-1,-0.0676190476,0.0670668263,-45.2349153,-4.86680748e-13,8.61991527e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,0,-0.0476190476,0.0824786099,-30,-5.64603829e-08,1.0000061
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,1,-0.0276190476,0.0911453948,-16.857956,-2.1394382e-13,3.78929638e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,2,-0.00761904762,0.0949328441,-4.58856574,-7.56097625e-14,1.33917306e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,3,0.0123809524,0.0944299042,7.46959232,6.37295907e-14,-1.12875571e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,4,0.0323809524,0.0895643272,19.8768741,2.04078287e-13,-3.61456161e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,5,0.0523809524,0.0795394909,33.367013,3.45612356e-13,-6.12136239e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,6,0.0723809524,0.0618974355,49.4641979,4.88902324e-13,-8.65926303e-06
D15b_flat_flat_r16P50T60_theta30p_v4.json,trans,7,0.0923809524,0.0231528491,75.9301323,6.37138134e-13,-1.12847627e-05
D15b_structure_dbg3.json,refl,-2,-0.0876190476,0.037325558,-66.9260819,,
D15b_structure_dbg3.json,refl,-1,-0.0676190476,0.0670668263,-45.2349153,,
D15b_structure_dbg3.json,refl,0,-0.0476190476,0.0824786099,-30,,
D15b_structure_dbg3.json,refl,1,-0.0276190476,0.0911453948,-16.857956,,
D15b_structure_dbg3.json,refl,2,-0.00761904762,0.0949328441,-4.58856574,,
D15b_structure_dbg3.json,refl,3,0.0123809524,0.0944299042,7.46959232,,
D15b_structure_dbg3.json,refl,4,0.0323809524,0.0895643272,19.8768741,,
D15b_structure_dbg3.json,refl,5,0.0523809524,0.0795394909,33.367013,,
D15b_structure_dbg3.json,refl,6,0.0723809524,0.0618974355,49.4641979,,
D15b_structure_dbg3.json,refl,7,0.0923809524,0.0231528491,75.9301323,,
D15b_structure_dbg3.json,trans,-2,-0.0876190476,0.037325558,-66.9260819,,
D15b_structure_dbg3.json,trans,-1,-0.0676190476,0.0670668263,-45.2349153,,
D15b_structure_dbg3.json,trans,0,-0.0476190476,0.0824786099,-30,,
D15b_structure_dbg3.json,trans,1,-0.0276190476,0.0911453948,-16.857956,,
D15b_structure_dbg3.json,trans,2,-0.00761904762,0.0949328441,-4.58856574,,
D15b_structure_dbg3.json,trans,3,0.0123809524,0.0944299042,7.46959232,,
D15b_structure_dbg3.json,trans,4,0.0323809524,0.0895643272,19.8768741,,
D15b_structure_dbg3.json,trans,5,0.0523809524,0.0795394909,33.367013,,
D15b_structure_dbg3.json,trans,6,0.0723809524,0.0618974355,49.4641979,,
D15b_structure_dbg3.json,trans,7,0.0923809524,0.0231528491,75.9301323,,
D15b_structure_r16P50T60_theta30p_v4.json,refl,-2,-0.0876190476,0.037325558,-66.9260819,-23546.9569,0.506627779
D15b_structure_r16P50T60_theta30p_v4.json,refl,-1,-0.0676190476,0.0670668263,-45.2349153,-13317.8655,0.286542361
D15b_structure_r16P50T60_theta30p_v4.json,refl,0,-0.0476190476,0.0824786099,-30,78889.2701,-1.6973529
D15b_structure_r16P50T60_theta30p_v4.json,refl,1,-0.0276190476,0.0911453948,-16.857956,-5338.05302,0.114851611
D15b_structure_r16P50T60_theta30p_v4.json,refl,2,-0.00761904762,0.0949328441,-4.58856574,-2380.15675,0.0512105887
D15b_structure_r16P50T60_theta30p_v4.json,refl,3,0.0123809524,0.0944299042,7.46959232,-2603.00424,0.0560052944
D15b_structure_r16P50T60_theta30p_v4.json,refl,4,0.0323809524,0.0895643272,19.8768741,-14285.3687,0.307358808
D15b_structure_r16P50T60_theta30p_v4.json,refl,5,0.0523809524,0.0795394909,33.367013,-24566.4495,0.528562811
D15b_structure_r16P50T60_theta30p_v4.json,refl,6,0.0723809524,0.0618974355,49.4641979,-9144.68947,0.19675382
D15b_structure_r16P50T60_theta30p_v4.json,refl,7,0.0923809524,0.0231528491,75.9301323,-30184.5504,0.64943983
D15b_structure_r16P50T60_theta30p_v4.json,trans,-2,-0.0876190476,0.037325558,-66.9260819,-0.00124638187,0.000106111421
D15b_structure_r16P50T60_theta30p_v4.json,trans,-1,-0.0676190476,0.0670668263,-45.2349153,5.01341292e-05,-4.26819725e-06
D15b_structure_r16P50T60_theta30p_v4.json,trans,0,-0.0476190476,0.0824786099,-30,3.87008992e-05,-3.29482279e-06
D15b_structure_r16P50T60_theta30p_v4.json,trans,1,-0.0276190476,0.0911453948,-16.857956,2.2033838e-05,-1.87586318e-06
D15b_structure_r16P50T60_theta30p_v4.json,trans,2,-0.00761904762,0.0949328441,-4.58856574,6.3192173e-06,-5.37990115e-07
D15b_structure_r16P50T60_theta30p_v4.json,trans,3,0.0123809524,0.0944299042,7.46959232,-9.44356963e-06,8.03983606e-07
D15b_structure_r16P50T60_theta30p_v4.json,trans,4,0.0323809524,0.0895643272,19.8768741,-2.51277794e-05,2.13926761e-06
D15b_structure_r16P50T60_theta30p_v4.json,trans,5,0.0523809524,0.0795394909,33.367013,-4.04415909e-05,3.44301757e-06
D15b_structure_r16P50T60_theta30p_v4.json,trans,6,0.0723809524,0.0618974355,49.4641979,-5.92530463e-05,5.04454138e-06
D15b_structure_r16P50T60_theta30p_v4.json,trans,7,0.0923809524,0.0231528491,75.9301323,-11.7447094,0.999892435
D15b_structure_r20P50T60_theta30p_v5.json,refl,-2,-0.0876190476,0.037325558,-66.9260819,-23220.6571,0.501243634
D15b_structure_r20P50T60_theta30p_v5.json,refl,-1,-0.0676190476,0.0670668263,-45.2349153,-13350.1927,0.288178714
D15b_structure_r20P50T60_theta30p_v5.json,refl,0,-0.0476190476,0.0824786099,-30,78924.5655,-1.70367427
D15b_structure_r20P50T60_theta30p_v5.json,refl,1,-0.0276190476,0.0911453948,-16.857956,-5331.00616,0.11507568
D15b_structure_r20P50T60_theta30p_v5.json,refl,2,-0.00761904762,0.0949328441,-4.58856574,-2342.4802,0.0505650328
D15b_structure_r20P50T60_theta30p_v5.json,refl,3,0.0123809524,0.0944299042,7.46959232,-2639.35889,0.0569734885
D15b_structure_r20P50T60_theta30p_v5.json,refl,4,0.0323809524,0.0895643272,19.8768741,-14138.924,0.305204354
D15b_structure_r20P50T60_theta30p_v5.json,refl,5,0.0523809524,0.0795394909,33.367013,-24669.5534,0.532519668
D15b_structure_r20P50T60_theta30p_v5.json,refl,6,0.0723809524,0.0618974355,49.4641979,-9062.56014,0.19562541
D15b_structure_r20P50T60_theta30p_v5.json,refl,7,0.0923809524,0.0231528491,75.9301323,-30495.9217,0.658288288
D15b_structure_r20P50T60_theta30p_v5.json,trans,-2,-0.0876190476,0.037325558,-66.9260819,-0.00125742867,0.000109689943
D15b_structure_r20P50T60_theta30p_v5.json,trans,-1,-0.0676190476,0.0670668263,-45.2349153,3.06524486e-05,-2.67392133e-06
D15b_structure_r20P50T60_theta30p_v5.json,trans,0,-0.0476190476,0.0824786099,-30,2.43401865e-05,-2.12328041e-06
D15b_structure_r20P50T60_theta30p_v5.json,trans,1,-0.0276190476,0.0911453948,-16.857956,1.37581045e-05,-1.20016804e-06
D15b_structure_r20P50T60_theta30p_v5.json,trans,2,-0.00761904762,0.0949328441,-4.58856574,3.93489098e-06,-3.43254434e-07
D15b_structure_r20P50T60_theta30p_v5.json,trans,3,0.0123809524,0.0944299042,7.46959232,-5.92084937e-06,5.16496597e-07
